Date,buy_hold,momentum_20_100,mean_reversion_5,pead_yahoo,tradingagents_proxy,daily_stock_analysis_proxy,tradingagents_true,daily_stock_analysis_true
2024-07-02,130260.22475149388,105672.31602909975,101569.22546082162,121168.64109350325,105672.31602909975,101569.22546082162,100000.0,100000.0
2024-07-03,130311.41187599172,105955.93039827702,100352.93300075023,121168.64109350325,105955.93039827702,100352.93300075023,100000.0,100000.0
2024-07-05,131247.8448436302,106181.61259808083,100547.163292323,121168.64109350325,106181.61259808083,100547.163292323,100000.0,100000.0
2024-07-08,130735.9564028193,104518.35058719057,99529.76049565966,121168.64109350325,104518.35058719057,99529.76049565966,100000.0,100000.0
2024-07-09,132577.92255124982,104580.14585344544,100123.02130520585,121168.64109350325,104580.14585344544,100123.02130520585,100000.0,100000.0
2024-07-10,133654.85195750356,104619.55166487076,98265.80271606475,121168.64109350325,104619.55166487076,98265.80271606475,100000.0,100000.0
2024-07-11,135984.54546354205,105369.16770311067,100920.6507139834,121168.64109350325,105369.16770311067,100920.6507139834,100000.0,100000.0
2024-07-12,138610.1966180818,106425.10616818561,101944.59155560833,121168.64109350325,106425.10616818561,101944.59155560833,100000.0,100000.0
2024-07-15,142320.32379615388,109395.04391849466,103778.56604498943,121168.64109350325,109395.04391849466,103778.56604498943,100000.0,100000.0
2024-07-16,146723.43001732125,111326.16030129898,103764.01466373571,121168.64109350325,111326.16030129898,103764.01466373571,100000.0,100000.0
2024-07-17,143921.98845390423,110155.4015106022,99496.29366420883,121168.64109350325,110155.4015106022,99496.29366420883,100000.0,100000.0
2024-07-18,140079.97104723475,107560.5206028587,97237.73493963352,121168.64109350325,107560.5206028587,97237.73493963352,100000.0,100000.0
2024-07-19,139309.5458298485,106992.85823444302,95482.56560835641,121168.64109350325,106992.85823444302,95482.56560835641,100000.0,100000.0
2024-07-22,141772.88443966294,108944.36495276207,98078.97007467296,121168.64109350325,108944.36495276207,98078.97007467296,100000.0,100000.0
2024-07-23,144305.94763939967,110960.67081587353,102125.35386925317,121168.64109350325,110960.67081587353,102125.35386925317,100000.0,100000.0
2024-07-24,139005.73880942437,106541.04450750184,96368.96359082073,121168.64109350325,106541.04450750184,96368.96359082073,100000.0,100000.0
2024-07-25,139375.2795461084,107678.4485342777,95391.5413653642,121168.64109350325,107678.4485342777,95391.5413653642,100000.0,100000.0
2024-07-26,140734.68333315835,108261.5452859116,96131.58058614044,121168.64109350325,108261.5452859116,96131.58058614044,100000.0,100000.0
2024-07-29,140064.99880204815,106798.65115467002,96110.78054836194,121168.64109350325,106798.65115467002,96110.78054836194,100000.0,100000.0
