date,symbol,model,decision,conviction,confidence,reasoning,metadata
2025-02-12,WELL,pead_yahoo,sell,-0.8815,0.6263,EPS surprise -17.63% after earnings on 2025-02-11; hold 5 trading days,"{""eps_estimate"":0.41,""reported_eps"":0.34,""surprise_pct"":-17.6300}"
2025-04-29,WELL,pead_yahoo,buy,0.2635,0.5027,EPS surprise 5.27% after earnings on 2025-04-28; hold 5 trading days,"{""eps_estimate"":0.38,""reported_eps"":0.4,""surprise_pct"":5.2700}"
2025-07-29,WELL,pead_yahoo,buy,0.1695,0.4839,EPS surprise 3.39% after earnings on 2025-07-28; hold 5 trading days,"{""eps_estimate"":0.44,""reported_eps"":0.45,""surprise_pct"":3.3900}"
2025-10-28,WELL,pead_yahoo,buy,0.1545,0.4809,EPS surprise 3.09% after earnings on 2025-10-27; hold 5 trading days,"{""eps_estimate"":0.53,""reported_eps"":0.55,""surprise_pct"":3.0900}"
2026-02-11,WELL,pead_yahoo,sell,-0.3535,0.5207,EPS surprise -7.07% after earnings on 2026-02-10; hold 5 trading days,"{""eps_estimate"":0.59,""reported_eps"":0.55,""surprise_pct"":-7.0700}"
2026-04-29,WELL,pead_yahoo,buy,0.469,0.5438,EPS surprise 9.38% after earnings on 2026-04-28; hold 5 trading days,"{""eps_estimate"":0.5,""reported_eps"":0.55,""surprise_pct"":9.3800}"
2026-07-28,WELL,pead_yahoo,sell,-0.844,0.6188,EPS surprise -16.88% after earnings on 2026-07-27; hold 5 trading days,"{""eps_estimate"":0.65,""reported_eps"":0.54,""surprise_pct"":-16.8800}"
2024-02-28,ZETA,pead_yahoo,buy,1.0,0.7249,EPS surprise 27.49% after earnings on 2024-02-27; hold 5 trading days,"{""eps_estimate"":0.14,""reported_eps"":0.17,""surprise_pct"":27.4900}"
2024-08-01,ZETA,pead_yahoo,buy,1.0,0.788,EPS surprise 33.80% after earnings on 2024-07-31; hold 5 trading days,"{""eps_estimate"":0.1,""reported_eps"":0.14,""surprise_pct"":33.8000}"
2024-11-12,ZETA,pead_yahoo,sell,-0.225,0.495,EPS surprise -4.50% after earnings on 2024-11-11; hold 5 trading days,"{""eps_estimate"":0.17,""reported_eps"":0.16,""surprise_pct"":-4.5000}"
2025-02-26,ZETA,pead_yahoo,buy,0.572,0.5644,EPS surprise 11.44% after earnings on 2025-02-25; hold 5 trading days,"{""eps_estimate"":0.22,""reported_eps"":0.25,""surprise_pct"":11.4400}"
2025-08-06,ZETA,pead_yahoo,buy,0.6375,0.5775,EPS surprise 12.75% after earnings on 2025-08-05; hold 5 trading days,"{""eps_estimate"":0.12,""reported_eps"":0.14,""surprise_pct"":12.7500}"
2025-11-06,ZETA,pead_yahoo,buy,1.0,0.9222,EPS surprise 47.22% after earnings on 2025-11-05; hold 5 trading days,"{""eps_estimate"":0.18,""reported_eps"":0.27,""surprise_pct"":47.2200}"
2026-02-26,ZETA,pead_yahoo,buy,1.0,0.95,EPS surprise 58.13% after earnings on 2026-02-25; hold 5 trading days,"{""eps_estimate"":0.23,""reported_eps"":0.37,""surprise_pct"":58.1300}"
2026-05-04,ZETA,pead_yahoo,buy,1.0,0.8418,EPS surprise 39.18% after earnings on 2026-05-01; hold 5 trading days,"{""eps_estimate"":0.12,""reported_eps"":0.16,""surprise_pct"":39.1800}"
